politician,topic,youth_rank,coverage_orig,rank_orig,coverage_corrected,rank_corrected,rank_shift,coverage_delta,topic_bias
Elly Schlein,Democrazia e legalità,8.5,0.5663,1.0,0.3153,1.0,0.0,-0.251,0.374
Elly Schlein,Lavoro e economia,2.0,0.3554,2.0,0.251,2.0,0.0,-0.1044,0.261
Elly Schlein,Salute e welfare,3.5,0.2249,3.0,0.1305,3.0,0.0,-0.0944,0.032
Elly Schlein,Costo della vita,3.5,0.2048,4.0,0.1084,4.0,0.0,-0.0964,0.07
Elly Schlein,Difesa e sicurezza,7.0,0.1968,5.0,0.0763,5.0,0.0,-0.1205,0.052
Elly Schlein,Istruzione e formazione,5.0,0.1145,6.0,0.0462,9.0,3.0,-0.0683,0.074
Elly Schlein,Uguaglianza di genere,6.0,0.0984,7.0,0.0622,6.0,-1.0,-0.0361,0.152
Elly Schlein,Ambiente e clima,1.0,0.0683,8.0,0.0241,10.0,2.0,-0.0442,0.033
Elly Schlein,Immigrazione,8.5,0.0602,9.5,0.0602,7.5,-2.0,0.0,-0.067
Elly Schlein,Abitazione,10.0,0.0602,9.5,0.0602,7.5,-2.0,0.0,0.0
Giorgia Meloni,Democrazia e legalità,8.5,0.3667,1.0,0.1788,2.0,1.0,-0.1879,0.374
Giorgia Meloni,Difesa e sicurezza,7.0,0.3182,2.0,0.2394,1.0,-1.0,-0.0788,0.052
Giorgia Meloni,Lavoro e economia,2.0,0.3121,3.0,0.1727,3.0,0.0,-0.1394,0.261
Giorgia Meloni,Immigrazione,8.5,0.0788,4.0,0.0788,4.0,0.0,0.0,-0.067
Giorgia Meloni,Salute e welfare,3.5,0.0727,5.0,0.0182,9.0,4.0,-0.0545,0.032
Giorgia Meloni,Ambiente e clima,1.0,0.0697,6.0,0.0242,6.5,0.5,-0.0455,0.033
Giorgia Meloni,Costo della vita,3.5,0.0545,7.0,0.0303,5.0,-2.0,-0.0242,0.07
Giorgia Meloni,Istruzione e formazione,5.0,0.0515,8.0,0.0212,8.0,0.0,-0.0303,0.074
Giorgia Meloni,Abitazione,10.0,0.0242,9.0,0.0242,6.5,-2.5,0.0,0.0
Giorgia Meloni,Uguaglianza di genere,6.0,0.0121,10.0,0.0061,10.0,0.0,-0.0061,0.152
Giuseppe Conte,Democrazia e legalità,8.5,0.5065,1.0,0.2468,2.0,1.0,-0.2597,0.374
Giuseppe Conte,Lavoro e economia,2.0,0.4242,2.0,0.2857,1.0,-1.0,-0.1385,0.261
Giuseppe Conte,Difesa e sicurezza,7.0,0.3463,3.0,0.1732,4.0,1.0,-0.1732,0.052
Giuseppe Conte,Costo della vita,3.5,0.3203,4.0,0.2035,3.0,-1.0,-0.1169,0.07
Giuseppe Conte,Salute e welfare,3.5,0.2987,5.0,0.1342,5.0,0.0,-0.1645,0.032
Giuseppe Conte,Istruzione e formazione,5.0,0.1558,6.0,0.0476,7.0,1.0,-0.1082,0.074
Giuseppe Conte,Abitazione,10.0,0.0693,7.0,0.0693,6.0,-1.0,0.0,0.0
Giuseppe Conte,Ambiente e clima,1.0,0.0649,8.0,0.0043,9.5,1.5,-0.0606,0.033
Giuseppe Conte,Immigrazione,8.5,0.0433,9.0,0.0433,8.0,-1.0,0.0,-0.067
Giuseppe Conte,Uguaglianza di genere,6.0,0.0173,10.0,0.0043,9.5,-0.5,-0.013,0.152
carlocalenda,Democrazia e legalità,8.5,0.6684,1.0,0.3588,1.0,0.0,-0.3095,0.374
carlocalenda,Difesa e sicurezza,7.0,0.3724,2.0,0.2245,2.0,0.0,-0.148,0.052
carlocalenda,Lavoro e economia,2.0,0.2551,3.0,0.1276,3.0,0.0,-0.1276,0.261
carlocalenda,Costo della vita,3.5,0.0952,4.0,0.0442,4.0,0.0,-0.051,0.07
carlocalenda,Salute e welfare,3.5,0.0935,5.0,0.034,5.5,0.5,-0.0595,0.032
carlocalenda,Istruzione e formazione,5.0,0.0799,6.0,0.034,5.5,-0.5,-0.0459,0.074
carlocalenda,Ambiente e clima,1.0,0.0408,7.0,0.0119,9.0,2.0,-0.0289,0.033
carlocalenda,Immigrazione,8.5,0.0221,8.0,0.0221,7.0,-1.0,0.0,-0.067
carlocalenda,Abitazione,10.0,0.0153,9.0,0.0153,8.0,-1.0,0.0,0.0
carlocalenda,Uguaglianza di genere,6.0,0.0136,10.0,0.0051,10.0,0.0,-0.0085,0.152
matteosalviniofficial,Democrazia e legalità,8.5,0.3754,1.0,0.1426,3.0,2.0,-0.2328,0.374
matteosalviniofficial,Difesa e sicurezza,7.0,0.3672,2.0,0.2082,1.0,-1.0,-0.159,0.052
matteosalviniofficial,Immigrazione,8.5,0.1574,3.0,0.1574,2.0,-1.0,0.0,-0.067
matteosalviniofficial,Lavoro e economia,2.0,0.1557,4.0,0.059,4.0,0.0,-0.0967,0.261
matteosalviniofficial,Istruzione e formazione,5.0,0.0574,5.0,0.0213,6.0,1.0,-0.0361,0.074
matteosalviniofficial,Salute e welfare,3.5,0.0459,6.0,0.0148,7.5,1.5,-0.0311,0.032
matteosalviniofficial,Ambiente e clima,1.0,0.0344,8.0,0.0115,9.0,1.0,-0.023,0.033
matteosalviniofficial,Costo della vita,3.5,0.0344,8.0,0.0148,7.5,-0.5,-0.0197,0.07
matteosalviniofficial,Abitazione,10.0,0.0344,8.0,0.0344,5.0,-3.0,0.0,0.0
matteosalviniofficial,Uguaglianza di genere,6.0,0.0262,10.0,0.0082,10.0,0.0,-0.018,0.152
nicolafratoianni,Lavoro e economia,2.0,0.4886,1.0,0.379,1.0,0.0,-0.1096,0.261
nicolafratoianni,Democrazia e legalità,8.5,0.4749,2.0,0.1963,3.0,1.0,-0.2785,0.374
nicolafratoianni,Costo della vita,3.5,0.3516,3.0,0.2603,2.0,-1.0,-0.0913,0.07
nicolafratoianni,Salute e welfare,3.5,0.274,4.0,0.1096,4.0,0.0,-0.1644,0.032
nicolafratoianni,Difesa e sicurezza,7.0,0.2511,5.0,0.0868,7.0,2.0,-0.1644,0.052
nicolafratoianni,Istruzione e formazione,5.0,0.1826,6.0,0.0959,5.5,-0.5,-0.0868,0.074
nicolafratoianni,Abitazione,10.0,0.0959,7.0,0.0959,5.5,-1.5,0.0,0.0
nicolafratoianni,Ambiente e clima,1.0,0.0822,8.0,0.032,8.0,0.0,-0.0502,0.033
nicolafratoianni,Uguaglianza di genere,6.0,0.0411,9.0,0.0091,10.0,1.0,-0.032,0.152
nicolafratoianni,Immigrazione,8.5,0.0183,10.0,0.0183,9.0,-1.0,0.0,-0.067
silviasalis,Lavoro e economia,2.0,0.3548,1.0,0.2177,1.0,0.0,-0.1371,0.261
silviasalis,Democrazia e legalità,8.5,0.3387,2.0,0.1129,4.0,2.0,-0.2258,0.374
silviasalis,Istruzione e formazione,5.0,0.2339,3.0,0.129,2.0,-1.0,-0.1048,0.074
silviasalis,Ambiente e clima,1.0,0.1855,4.5,0.0968,5.0,0.5,-0.0887,0.033
silviasalis,Salute e welfare,3.5,0.1855,4.5,0.0887,6.0,1.5,-0.0968,0.032
silviasalis,Difesa e sicurezza,7.0,0.1774,6.0,0.0806,7.5,1.5,-0.0968,0.052
silviasalis,Costo della vita,3.5,0.1452,7.0,0.0565,9.0,2.0,-0.0887,0.07
silviasalis,Abitazione,10.0,0.121,8.0,0.121,3.0,-5.0,0.0,0.0
silviasalis,Uguaglianza di genere,6.0,0.1129,9.0,0.0806,7.5,-1.5,-0.0323,0.152
silviasalis,Immigrazione,8.5,0.0242,10.0,0.0242,10.0,0.0,0.0,-0.067
