Entità,Metrica,Topic,Rank,Valore
Giovani IT,EB %,Ambiente e clima,1.0,0.46
Giovani IT,EB %,Lavoro e economia,2.0,0.38
Giovani IT,EB %,Costo della vita,3.5,0.34
Giovani IT,EB %,Salute e welfare,3.5,0.34
Giovani IT,EB %,Istruzione e formazione,5.0,0.26
Giovani IT,EB %,Uguaglianza di genere,6.0,0.24
Giovani IT,EB %,Difesa e sicurezza,7.0,0.16
Giovani IT,EB %,Immigrazione,8.5,0.15
Giovani IT,EB %,Democrazia e legalità,8.5,0.15
Giovani IT,EB %,Abitazione,10.0,0.09
antoniotajani,Coverage ≥3,Difesa e sicurezza,1.5,0.9444
antoniotajani,Coverage ≥3,Democrazia e legalità,1.5,0.9444
antoniotajani,Coverage ≥3,Lavoro e economia,3.0,0.7778
antoniotajani,Coverage ≥3,Salute e welfare,4.0,0.6667
antoniotajani,Coverage ≥3,Immigrazione,5.0,0.5556
antoniotajani,Coverage ≥3,Istruzione e formazione,6.0,0.4444
antoniotajani,Coverage ≥3,Ambiente e clima,7.0,0.3333
antoniotajani,Coverage ≥3,Costo della vita,8.0,0.2222
antoniotajani,Coverage ≥3,Uguaglianza di genere,9.0,0.1111
antoniotajani,Coverage ≥3,Abitazione,10.0,0.0
carlocalenda,Coverage ≥3,Democrazia e legalità,1.0,1.0
carlocalenda,Coverage ≥3,Difesa e sicurezza,2.0,0.8889
carlocalenda,Coverage ≥3,Lavoro e economia,3.0,0.7778
carlocalenda,Coverage ≥3,Costo della vita,4.0,0.6667
carlocalenda,Coverage ≥3,Salute e welfare,5.0,0.5556
carlocalenda,Coverage ≥3,Istruzione e formazione,6.0,0.4444
carlocalenda,Coverage ≥3,Ambiente e clima,7.0,0.3333
carlocalenda,Coverage ≥3,Immigrazione,8.0,0.2222
carlocalenda,Coverage ≥3,Abitazione,9.0,0.1111
carlocalenda,Coverage ≥3,Uguaglianza di genere,10.0,0.0
Elly Schlein,Coverage ≥3,Democrazia e legalità,1.0,1.0
Elly Schlein,Coverage ≥3,Lavoro e economia,2.0,0.8889
Elly Schlein,Coverage ≥3,Salute e welfare,3.0,0.7778
Elly Schlein,Coverage ≥3,Costo della vita,4.0,0.6667
Elly Schlein,Coverage ≥3,Difesa e sicurezza,5.0,0.5556
Elly Schlein,Coverage ≥3,Istruzione e formazione,6.0,0.4444
Elly Schlein,Coverage ≥3,Uguaglianza di genere,7.0,0.3333
Elly Schlein,Coverage ≥3,Ambiente e clima,8.0,0.2222
Elly Schlein,Coverage ≥3,Immigrazione,9.5,0.0556
Elly Schlein,Coverage ≥3,Abitazione,9.5,0.0556
Giorgia Meloni,Coverage ≥3,Democrazia e legalità,1.0,1.0
Giorgia Meloni,Coverage ≥3,Difesa e sicurezza,2.0,0.8889
Giorgia Meloni,Coverage ≥3,Lavoro e economia,3.0,0.7778
Giorgia Meloni,Coverage ≥3,Immigrazione,4.0,0.6667
Giorgia Meloni,Coverage ≥3,Salute e welfare,5.0,0.5556
Giorgia Meloni,Coverage ≥3,Ambiente e clima,6.0,0.4444
Giorgia Meloni,Coverage ≥3,Costo della vita,7.0,0.3333
Giorgia Meloni,Coverage ≥3,Istruzione e formazione,8.0,0.2222
Giorgia Meloni,Coverage ≥3,Abitazione,9.0,0.1111
Giorgia Meloni,Coverage ≥3,Uguaglianza di genere,10.0,0.0
Giuseppe Conte,Coverage ≥3,Democrazia e legalità,1.0,1.0
Giuseppe Conte,Coverage ≥3,Lavoro e economia,2.0,0.8889
Giuseppe Conte,Coverage ≥3,Difesa e sicurezza,3.0,0.7778
Giuseppe Conte,Coverage ≥3,Costo della vita,4.0,0.6667
Giuseppe Conte,Coverage ≥3,Salute e welfare,5.0,0.5556
Giuseppe Conte,Coverage ≥3,Istruzione e formazione,6.0,0.4444
Giuseppe Conte,Coverage ≥3,Abitazione,7.0,0.3333
Giuseppe Conte,Coverage ≥3,Ambiente e clima,8.0,0.2222
Giuseppe Conte,Coverage ≥3,Immigrazione,9.0,0.1111
Giuseppe Conte,Coverage ≥3,Uguaglianza di genere,10.0,0.0
matteorenzi,Coverage ≥3,Democrazia e legalità,1.0,1.0
matteorenzi,Coverage ≥3,Lavoro e economia,2.0,0.8889
matteorenzi,Coverage ≥3,Costo della vita,3.0,0.7778
matteorenzi,Coverage ≥3,Difesa e sicurezza,4.0,0.6667
matteorenzi,Coverage ≥3,Istruzione e formazione,5.0,0.5556
matteorenzi,Coverage ≥3,Salute e welfare,6.0,0.4444
matteorenzi,Coverage ≥3,Immigrazione,7.0,0.3333
matteorenzi,Coverage ≥3,Abitazione,8.0,0.2222
matteorenzi,Coverage ≥3,Uguaglianza di genere,9.0,0.1111
matteorenzi,Coverage ≥3,Ambiente e clima,10.0,0.0
matteosalviniofficial,Coverage ≥3,Democrazia e legalità,1.0,1.0
matteosalviniofficial,Coverage ≥3,Difesa e sicurezza,2.0,0.8889
matteosalviniofficial,Coverage ≥3,Immigrazione,3.0,0.7778
matteosalviniofficial,Coverage ≥3,Lavoro e economia,4.0,0.6667
matteosalviniofficial,Coverage ≥3,Istruzione e formazione,5.0,0.5556
matteosalviniofficial,Coverage ≥3,Salute e welfare,6.0,0.4444
matteosalviniofficial,Coverage ≥3,Ambiente e clima,8.0,0.2222
