folder_id,type,language,ambiente_clima,lavoro_economia,costo_vita,salute_welfare,istruzione_formazione,uguaglianza_genere,difesa_sicurezza,immigrazione,democrazia_legalita,abitazione,keywords,sentiment,propaganda
2025-09-01_001,video,it,1,1,1,4,1,1,1,2,1,1,ospedali romani;bambini palestinesi;cure;solidarietà;Ministero;pazienti,positive,low
2025-09-01_002,image,it,1,5,3,1,1,1,1,1,1,1,disoccupazione;occupati;PIL pro capite;salari bassi;contributi;9€ all'ora,positive,medium
2025-09-02_001,image,it,1,1,1,1,1,1,1,1,1,1,Emilio Fede;giornalista;Tg1;Tg4;condoglianze;informazione,neutral,none
2025-09-04_001,image,it,1,1,1,1,1,1,1,1,1,1,Giorgio Armani;Made in Italy;moda;eleganza;Italia,neutral,none
2025-09-04_002,image,it,1,1,1,1,1,1,4,3,2,1,Viterbo;Santa Rosa;forze dell'ordine;arresto;sicurezza;campagne d'odio,positive,low
2025-09-08_001,video,it,4,5,2,3,1,1,3,1,4,1,competitività;nucleare;politica industriale;tassi di interesse;transizione ambientale;sanità;difesa,mixed,medium
2025-09-11_001,video,it,1,1,1,1,1,1,1,1,4,1,onore;dignità;accuse false;corruzione;democrazia;ministro;opinione pubblica,negative,high
2025-09-11_002,image,it,1,1,1,1,1,1,3,1,4,1,11 settembre;attentato;solidarietà;democrazia;pace;libertà,neutral,low
2025-09-12_001,video,it,1,3,1,4,1,1,3,1,5,1,benessere psicologico;medicina di prossimità;senso delle istituzioni;libertà;attacco politico;cattivi maestri,mixed,medium
2025-09-12_002,image,it,1,3,1,1,1,1,1,1,5,1,giornalismo;libertà di stampa;censura;democrazia;pluralismo;Voltaire,positive,medium
2025-09-14_001,video,it,1,1,1,1,1,1,1,1,2,1,Libertà;Forza Italia;bandiera;patriottismo,positive,high
2025-09-17_001,video,it,1,1,1,1,1,1,1,1,3,1,ForzaItalia;Buongoverno;Marche;coalizione politica;centro-destra;governo nazionale,positive,medium
2025-09-18_001,video,it,1,1,1,1,1,1,4,1,3,1,armi italiane;Israele;regolamento Uama;porti;norme;Presidente,negative,medium
2025-09-18_002,image,it,1,1,1,1,1,1,1,1,5,1,riforma magistratura;sistema accusatorio;indipendenza giudiziaria;legalità;giustizia;separazione carriere,positive,medium
2025-09-19_001,video,it,1,3,1,1,2,1,1,1,3,1,valori;ideali;passione politica;meritocrazia;impegno;carriera politica,positive,low
2025-09-20_001,video,it,1,1,1,1,1,1,1,1,1,1,autonomia;comunità valdostana;presidente;tunnel di Mont Blanc;Melide Blanc,positive,none
2025-09-20_002,video,it,1,1,1,1,1,1,1,1,2,1,Aosta;libertà;sogno;cantiamo;difendiamo,positive,low
2025-09-22_001,video,it,1,1,1,1,1,1,3,1,2,1,Assemblea Generale delle Nazioni Unite;Palazzo di Vetro;pace;Medio Oriente;Gaza,positive,low
2025-09-22_002,image,it,1,3,1,1,1,1,2,1,2,1,Palestina;violenza;economia;diritto allo sciopero;Nazioni Unite;ordine pubblico,negative,medium
2025-09-23_001,video,it,1,1,1,1,1,1,1,2,3,1,Gaza;beni alimentari;Nazioni Unite;popolazione palestinese;aiuto umanitario;migranti,positive,high
2025-09-26_001,video,it,1,1,1,1,1,1,1,1,1,1,Mogol;Lucio Battisti;Libertà;successi,positive,none
2025-09-26_002,image,it,1,1,1,1,1,1,1,1,2,1,Forza Italia;valori;punti di riferimento;libertà,positive,medium
2025-09-27_001,video,it,1,1,1,1,1,1,1,1,2,1,Mogol;Lucio Battisti;concerto;televisione;libertà;Forza Italia,negative,medium
2025-09-28_001,video,it,1,1,1,1,1,1,1,1,2,1,militante;Forza Italia;popolo;palazzo;libertà;sentimenti,positive,high
2025-09-28_002,video,it,1,1,1,1,1,1,1,1,2,1,Libertà;forza Italia;manifesto;identità;Silvio Delosconi,positive,high
2025-09-29_001,image,it,1,1,1,1,1,1,1,1,1,1,compleanno;Presidente;auguri,positive,none
2025-09-30_001,video,it,1,3,1,1,1,1,1,1,1,1,Calabria;Roberto Chiudo;Forza Italia;governo nazionale;sviluppare la Calabria,positive,high
2025-09-30_002,image,it,3,2,1,4,1,1,1,1,1,1,salute mentale;bambini;benessere psicofisico;ambiente;salvaguardia del suolo;proposte di legge,positive,low
