folder_id,type,language,ambiente_clima,lavoro_economia,costo_vita,salute_welfare,istruzione_formazione,uguaglianza_genere,difesa_sicurezza,immigrazione,democrazia_legalita,abitazione,keywords,sentiment,propaganda
2025-09-01_001,video,it,1,2,1,1,1,1,1,1,1,1,Todi;ascensori;Porta Orvietana;investimenti;trasporti;opere,positive,medium
2025-09-01_002,video,it,1,3,4,1,1,1,2,1,1,1,tasse;famiglie;cartelle esattoriali;Lega;bilancio;Agenzia delle Entrate,negative,medium
2025-09-01_003,image,it,1,1,1,1,1,1,3,5,1,1,Bresciano;espulsioni;irregolari;stranieri;maxi operazione;Polizia di Stato;Carabinieri,negative,low
2025-09-01_004,video,it,1,1,1,1,1,1,1,1,2,1,Pontida25;non molliamo;manifestazione;sostegno,positive,low
2025-09-02_001,image,it,1,1,1,1,1,1,4,1,2,1,TASER;Forze dell'Ordine;sicurezza;aggressione;furto;espulsione,positive,high
2025-09-02_002,image,it,1,1,1,1,1,1,3,1,2,1,aggressore;stupratori;castrazione chimica;crimini;Giornale;IBENNE,negative,high
2025-09-02_003,image,it,1,1,1,1,1,1,1,1,1,1,elezioni regionali;Lega;Sirolo;Francesco Acquaroli;squadra;territorio,positive,medium
2025-09-03_001,video,it,1,1,1,1,1,1,1,1,1,1,violenza;sport;genitori;ragazzo;rispetto;adulti,negative,none
2025-09-03_002,video,it,1,1,1,1,1,1,1,1,1,1,Pontida25;pullman;legaonline.it;appuntamento,neutral,none
2025-09-03_003,image,it,1,1,1,1,1,1,2,1,4,1,libertà di espressione;totalitarismo;comici;Londra;polizia;diritti,negative,medium
2025-09-03_004,image,it,1,1,1,1,1,1,4,1,4,1,mafia;criminalità;generale;memoria;lotta,negative,medium
2025-09-04_001,video,it,1,1,1,1,1,1,4,4,2,1,estremismo islamico;pericolo;confini;tolleranza zero;difesa,negative,high
2025-09-04_002,image,it,1,1,1,1,1,1,1,1,1,1,Giorgio Armani;eccellenza italiana;Made in Italy;maestro;stile;creatività,positive,none
2025-09-04_003,video,it,1,1,1,1,1,1,1,1,1,1,amministratore;parlamentare;Alberto;bravo;cuore;coraggio,positive,low
2025-09-04_004,image,it,1,1,1,1,1,1,5,3,3,1,Viterbo;attentato;Forze dell'Ordine;terrorismo;mitra;sicurezza,positive,medium
2025-09-05_001,image,it,1,1,1,1,1,1,1,1,1,1,manita;Ringhio;vittoria;sport,positive,none
2025-09-05_002,video,it,1,3,1,1,5,1,1,1,1,1,scuola italiana;240 milioni;personale scolastico;contratto;stipendi,positive,medium
2025-09-05_003,image,it,1,1,1,1,1,1,4,4,2,1,violenza sessuale;turisti;irregolari;marocchini;passaggio;arrestati,negative,medium
2025-09-05_004,video,it,1,1,1,1,1,1,5,4,3,1,sicurezza interna;militari;difesa nazionale;piazze;accoltellato;cittadini,negative,high
2025-09-05_005,image,it,1,1,1,1,1,1,4,3,3,1,borseggiatori;cittadini;denuncia;Venezia;ladre ROM;provvedimenti,negative,high
2025-09-06_001,video,it,1,1,1,1,1,1,1,1,1,1,PONTIDA25;pullman;legaonline.it;trasporto,neutral,none
2025-09-06_002,video,it,1,1,1,1,1,1,3,1,3,1,Forze dell'Ordine;manifestazione;abusivismo;illegalità;Piantedosi;solidarietà,negative,high
2025-09-06_003,image,it,1,1,1,1,1,1,1,1,1,1,pipe;crack;sinistra;cittadini;distribuzione,negative,high
2025-09-06_004,image,it,1,3,1,1,1,1,1,1,1,1,Ponte degli Italiani;Sicilia;infrastruttura;Catania;opera fondamentale,positive,low
2025-09-06_005,image,it,1,1,1,1,1,1,3,1,1,1,Willy Monteiro Duarte;valore civile;memoria;difesa;preghiera,neutral,low
2025-09-07_001,image,it,1,4,1,1,1,1,1,1,1,1,investimenti pubblici;opere pubbliche;sviluppo tecnologico;competitività;piano 204 miliardi,positive,low
2025-09-07_002,video,it,1,1,1,1,1,1,1,1,1,1,campionesse;medaglia d'oro;Italia;sport;vittoria,positive,none
2025-09-07_003,image,it,1,1,1,1,1,1,1,1,1,1,Carlo Acutis;Santo;Assisi;giovani;ispirazione;Beatificato,positive,none
2025-09-08_001,image,it,1,1,1,1,1,1,1,1,1,1,Natività;Vergine Maria;preghiera;pace,positive,none
2025-09-08_002,image,it,1,2,1,1,1,1,1,1,3,1,Macron;Popolo Francese;Assemblea Nazionale;bocciatura;fiducia,positive,medium
2025-09-08_003,video,it,3,3,1,1,1,1,1,3,2,1,TAV;opere infrastrutturali;risparmio ambientale;tempo;agricoltori;siciliani;calabresi,positive,high
2025-09-08_004,image,it,1,3,4,1,1,1,1,1,1,1,manovra correttiva;sacrifici agli italiani;interventi significativi;famiglie,positive,low
2025-09-08_005,image,it,1,1,1,1,1,1,4,1,2,1,terrorismo;Gaza;ostaggi;Hamas;pace;attentato,negative,high
2025-09-09_001,image,it,1,1,1,1,1,1,1,4,2,1,accoglienza;migranti;ospitare;cittadini;bando;Roma,negative,medium
2025-09-09_002,image,it,1,1,1,1,1,1,1,1,1,1,elezioni regionali;Lega;Catanzaro;Occhiuto;centrodestra;buongoverno,positive,medium
2025-09-09_003,video,it,1,1,1,1,1,1,5,1,2,1,soldati italiani;Ucraina;Russia;diplomazia;dialogo;guerre non nostre,negative,high
2025-09-10_001,image,it,1,1,1,1,1,1,1,1,3,1,Charlie Kirk;ucciso;incontro pubblico;Libertà;famiglia;Paese,negative,high
2025-09-10_002,video,it,1,1,1,1,1,1,1,1,1,1,attentato;Charlie Kirk;violenza;attivista;sconvolgimento,negative,none
2025-09-10_003,video,it,1,3,2,1,1,1,1,1,1,2,diga;Campolattaro;infrastruttura idrica;agricoltori;lavori;promessa,positive,medium
2025-09-10_004,video,it,1,1,1,1,1,1,3,1,2,1,aggressione;branco;colpi;carcere;vigliacchi,negative,medium
2025-09-10_005,video,it,1,1,1,1,1,1,3,1,3,1,truffi;anziano;Decreto Sicurezza;manette;tolleranza zero,negative,medium
2025-09-10_006,video,it,1,1,1,1,1,1,4,1,1,1,omicidio;criminalità;sicurezza;cittadini;pugno duro;Charlotte;Trump,negative,medium
2025-09-11_001,video,it,1,1,1,1,1,1,1,1,1,1,"Charlie Kirk;America;preghiera;America, America;grazia",neutral,none
2025-09-11_002,image,it,3,4,1,1,1,1,1,1,1,1,diga;Campolattaro;opera pubblica;Mezzogiorno;rifinanziamento;collaborazione,positive,low
2025-09-11_003,image,it,1,1,1,1,1,1,1,1,1,1,Ambasciata Stati Uniti;omaggio floreale;Marta Costanzo Youth;amicizia;cordoglio;11 settembre 2001,neutral,none
2025-09-11_004,image,it,1,1,1,1,1,1,4,1,4,1,11 settembre;terrorismo islamista;minaccia all'Occidente;libertà;democrazia;fanatismo,negative,medium
2025-09-12_001,video,it,1,1,1,1,1,1,1,1,1,1,Amazing grace;salvezza;perduto;visione,neutral,none
2025-09-12_002,video,it,1,1,1,1,1,1,5,2,2,1,militari;sicurezza;carabinieri;protezione;stazioni;criminalità,negative,medium
2025-09-12_003,image,it,1,1,1,1,1,1,1,1,1,1,Charlie Kirk;omicidio;bossolo;Bella ciao,negative,high
2025-09-12_004,image,it,1,1,1,1,1,1,2,1,3,1,Charlie Kirk;pena di morte;crimine;idee;valori;Trump,negative,medium
2025-09-12_005,image,it,1,1,1,1,1,1,2,1,4,1,omicidio politico;clima d'odio;democratici;cultura di protesta;sconfitta;violenza,negative,high
2025-09-12_006,image,it,1,1,1,1,1,1,4,1,3,1,Forze dell'Ordine;inseguimento;incidente;legalità;sicurezza,negative,medium
2025-09-12_007,image,it,1,1,1,1,1,1,1,1,5,1,riforma giustizia;giustizia;referendum;Lega;sinistra,negative,high
2025-09-13_001,video,it,1,1,1,1,1,1,1,1,1,1,grazie;ringraziamento,positive,none
2025-09-13_002,image,it,1,1,1,1,1,1,1,3,2,1,Stati Uniti;visto stranieri;assassinio;Landau,negative,medium
2025-09-13_003,image,it,3,1,1,1,1,1,4,1,1,1,Guardia Costiera;Global Summit;sicurezza in mare;ambiente marino;difesa delle frontiere,positive,low
2025-09-14_001,video,it,1,3,1,1,1,1,1,1,1,1,PONTIDA25;pullman;Lombardia;Puglia;Emilia;Calabria;lavoro;dignità,positive,low
2025-09-14_002,video,it,1,1,1,1,2,1,1,1,5,1,libertà di parola;dibattito;democrazia;opinioni;civiltà;Occidente,negative,high
2025-09-14_003,video,it,1,2,1,1,1,3,3,3,4,1,Lega;Patrioti per l'Europa;attacco terroristico;valori;famiglia;confini;rabbia;coraggio,negative,high
2025-09-14_004,image,it,1,1,1,1,4,1,2,3,4,1,Charlie Kirk;Pontida;scuole;odio;sinistra;immigrazione;dialogo,negative,high
2025-09-14_005,image,it,1,1,1,1,1,1,1,1,1,1,Santo Padre;saggezza;Grazia della Vergine Maria;Pace in terra,positive,none
2025-09-14_006,video,it,1,1,1,1,1,1,1,1,1,1,droni;Piazza San Pietro;Vaticano;messaggio di pace,positive,low
2025-09-15_001,video,it,1,1,1,1,1,1,3,1,3,1,Carabinieri;taser;sinistra;bloccato;violenza;sicurezza,negative,high
2025-09-15_002,image,it,1,4,1,1,1,1,1,1,1,1,aziende;dipendenti;provvedimenti;ex dipendenti;comunicare,neutral,medium
2025-09-15_003,image,it,1,1,1,1,1,3,1,1,2,1,mostrificazione;sinistra;intolleranti;associazioni Lgtbq;clima d'odio,negative,medium
2025-09-15_004,image,it,1,1,1,1,1,1,1,1,3,1,libertà;dovere;pensiero;Oriana Fallaci;anniversario,neutral,low
2025-09-15_005,image,it,1,1,1,1,4,1,1,1,1,1,scuola;anno scolastico;futuro;ragazzi,positive,none
2025-09-16_001,video,it,1,1,1,2,1,1,1,1,1,1,bambino;mamma;comunità;affetto,positive,none
2025-09-16_002,video,it,1,3,4,1,1,1,4,5,3,3,sicurezza nazionale;confini;delinquenti stranieri;bonus pubblici;cartelle esattoriali;regionalità;Lega;Fratelli d'Italia,negative,high
2025-09-16_003,image,it,1,1,1,1,1,1,1,1,1,1,Robert Redford;leggenda del cinema;Hollywood;ispirato;emozionato,positive,none
2025-09-16_004,image,it,1,1,1,1,1,1,1,1,4,1,aggressione;bambini;responsabilità;legge;giustizia;genitori,negative,medium
2025-09-16_005,image,it,1,4,1,1,1,2,1,1,3,1,libero professionista;piccolo imprenditore;ripercussioni;elezioni regionali;Lega;Toscana,negative,medium
2025-09-17_001,image,it,1,1,1,1,1,1,2,1,1,2,aggressione;padre;incendio;intervento;cane;San Lazzaro di Savena,negative,low
2025-09-17_002,video,it,1,1,1,1,1,1,1,1,3,1,Charlie Kirk;sacrificio;idee;evento;commemorazione;matteo,negative,medium
2025-09-17_003,image,it,1,1,1,1,1,1,1,1,1,1,Mattia Furlani;Mondiali di Tokyo;salto in lungo;8.39;orgoglio azzurro,positive,none
2025-09-17_004,video,it,1,1,1,1,3,1,2,1,3,1,aule universitarie;professore;Pisa;clima di odio;Palestina;solidarietà;accordi,negative,high
2025-09-17_005,image,it,1,1,1,1,1,1,5,1,3,1,militari italiani;terrorismo;sacrificio;Kabul;attentato;memoria,negative,low
2025-09-18_001,image,it,2,3,1,1,1,1,1,1,2,1,Brennero;Galleria di Base;tunnel continuo;Italia-Austria;opere concrete,positive,medium
2025-09-18_002,image,it,1,1,1,1,1,1,1,1,1,1,PONTIDA25;pullman;legaonline.it;evento;trasporto,neutral,low
2025-09-18_003,video,it,1,1,1,1,1,1,1,1,5,1,riforma giustizia;Camera;Senato;giustizia più giusta;centrodestra;Lega,positive,medium
2025-09-19_001,image,it,1,1,1,1,1,1,1,1,2,1,Ancona;centrodestra;piazza;Francesco Acquaroli;Lega;buon governo,positive,medium
2025-09-19_002,video,it,1,3,1,1,1,1,1,1,5,1,riforma giustizia;separare carriere;magistrati;vizi politici;libertà;arresti ingiusti,negative,medium
2025-09-19_003,image,it,1,1,1,1,1,1,1,1,4,1,riforma Lega;giustizia;Magistratura;denunce;processo;vergognoso,negative,high
2025-09-19_004,video,it,1,1,1,1,1,4,1,1,3,1,Charlie Kirk;cristianesimo;comunitarismo;orientamento sessuale;conservatorismo;teocrazia,negative,medium
2025-09-19_005,video,it,1,1,1,1,1,1,1,1,3,1,minuto di silenzio;Brigate Rosse;morti;colpe;giustizia,negative,high
2025-09-19_006,image,it,1,1,1,1,1,1,1,1,1,1,Pontida;legaonline.it;pullman;21 settembre 2025;evento,neutral,none
2025-09-20_001,video,it,1,1,1,1,1,1,1,1,2,1,Lega;Giovani;Pontida;valori;Italia,positive,high
2025-09-20_002,image,it,1,1,1,1,1,1,1,1,1,1,PONTIDA25;pullman;legaonline.it;domnica;21 settembre,neutral,none
2025-09-20_003,video,it,1,2,3,1,1,1,1,2,3,1,Lega;Pontida;libertà;normative;tasse;Europa;islamismo,negative,high
2025-09-20_004,video,it,2,1,1,1,1,1,2,4,5,1,Pontida;libertà;immigrati;Lega;persecuzioni giudiziarie;autonomia,negative,high
2025-09-21_001,video,it,1,1,1,1,1,1,1,1,1,1,funerali;Charlie Kirk;saluto;popolo;messaggio,neutral,none
2025-09-21_002,image,it,1,1,1,1,1,1,1,1,1,1,Pontida25;Lega;Salvini;grazie,positive,low
2025-09-21_003,video,it,1,1,1,1,1,1,1,1,1,1,Pontida25;Lega;fratelli;battaglie,neutral,none
2025-09-21_004,video,it,1,1,1,1,1,1,1,1,2,1,PONTIDA25;Libertà;Orgoglio;Lega;battaglia;futuro,positive,high
2025-09-22_001,video,it,1,1,1,1,1,1,2,1,3,1,famiglia;radici;terre;valori;civiltà occidentale;manifestazione;libertà,positive,high
2025-09-22_002,image,it,1,1,1,1,1,1,1,1,3,1,Lega;manifestazione;pagare;proposta;Parlamento,negative,medium
2025-09-22_003,image,it,1,1,1,1,1,1,3,1,3,1,pacifisti;delinquenti;guerriglia;assalto;stazione;violenti,negative,high
2025-09-22_004,video,it,1,3,1,1,1,1,4,1,3,1,sciopero;violenza;Forze dell'Ordine;scontri;lavoratori;PRO-PAL,negative,high
2025-09-22_005,video,it,1,4,2,1,1,1,1,1,3,1,diritto allo sciopero;delinquenza;violenza;lavoratori;migliaia;Palestine,negative,high
2025-09-22_006,video,it,1,1,1,1,1,1,1,1,1,1,perdono;Erika;Charlie Kirk;violenza;Cristo,positive,low
2025-09-23_001,image,it,1,1,1,1,1,1,1,1,1,1,Lega;Salvini;parte giusta,neutral,low
2025-09-23_002,video,it,1,1,1,1,1,1,3,1,3,1,manifestazione;pace;Gaza;scontri;violenza;polizia,negative,medium
2025-09-23_003,image,it,1,3,1,1,2,2,5,2,2,1,Guardia costiera;Comandante generale;Ammiraglio;efficienza;modernità;Corpo delle capitanerie di porto,positive,low
2025-09-23_004,video,it,1,3,1,2,1,1,3,1,3,1,scioperi;trasporti;manifestazioni;ordine pubblico;teppisti;cauzione,negative,medium
2025-09-23_005,image,it,1,1,1,1,1,1,1,1,4,1,Parlamento europeo;immunità;Salis;voto;Strasburgo;legalità,negative,high
2025-09-23_006,image,it,1,1,1,1,1,1,1,1,1,1,volo;cani;sicurezza;passeggeri;garanzia;Moka,positive,none
2025-09-24_001,video,it,1,1,1,1,1,1,1,1,1,1,cani di grossa taglia;viaggio aereo;Milano Linate;diritti animali;Ita Airways,positive,none
2025-09-24_002,video,it,1,4,3,1,1,1,1,1,2,2,infrastrutture;ferrovia;investimenti;Marche;gallerie;trasporti;opera pubblica,positive,high
2025-09-24_003,video,it,1,1,1,1,1,1,2,4,2,1,gesto vile;criminali;espulsione;tolleranza,negative,high
2025-09-24_004,image,it,1,1,1,1,1,1,2,1,2,1,irresponsabili;bloccare il Paese;caos;Cgil;Gaza;Global Sumud Flottilla,negative,high
2025-09-24_005,image,it,1,1,1,1,1,1,4,1,4,1,violenze;forze dell'ordine;cortei;cauzione;estremisti;disordini,negative,medium
2025-09-24_006,image,it,1,1,1,1,1,1,1,1,1,1,cani di grossa taglia;cabina;turismo;amici a quattro zampe;civiltà,positive,low
2025-09-25_001,video,it,1,1,1,1,1,1,3,1,1,1,Offida;Marche;centrodestra;buongoverno;sicura;Lega,positive,low
2025-09-25_002,image,it,1,1,1,4,1,1,1,1,2,1,anestesista;sciopero;cancro;salute;paziente,negative,medium
2025-09-25_003,image,it,1,1,1,1,1,1,4,1,1,1,rapine;veneto;guardia giurata;ladri;grazia;Massimo Zen,positive,medium
2025-09-25_004,image,it,1,1,1,1,1,1,1,1,2,1,solidarietà;Giorgia Meloni;clima d'odio;Porta Susa;LegaSalviniPremier,positive,high
2025-09-25_005,video,it,1,1,1,1,1,1,1,1,5,1,manifestazioni;danni;cozione;Salvini;elettorato;centro-destra;consenso,neutral,low
2025-09-25_006,video,it,1,1,1,1,1,1,1,4,2,1,protezione internazionale;rimpatrio;Italia;migrazione;aspetta,negative,high
2025-09-25_007,image,it,1,1,1,1,1,1,1,1,2,1,Cristianesimo;religione;perseguitata;Nazioni Unite,neutral,low
2025-09-26_001,video,it,1,1,1,1,1,1,4,1,4,1,Carabiniere;rapina;sparatoria;sicurezza;legalità;eroe;delinquente,positive,low
2025-09-26_002,video,it,1,1,1,1,1,1,1,5,2,1,permesso di soggiorno;punti;reati;infrazioni;cittadinanza;rispedire,negative,high
2025-09-26_003,image,it,1,3,1,1,1,1,4,1,1,1,sicurezza;stazioni;treni;assunzioni;dipendenti;FS security,positive,low
2025-09-27_001,video,it,1,1,1,1,1,1,1,1,1,1,vergogna;pace;musica,negative,high
2025-09-27_002,video,it,1,5,3,1,1,1,1,2,1,1,porto di Ancona;investimenti;lavoro;crescita;benessere;Marche;posti di lavoro,positive,medium
2025-09-27_003,image,it,1,1,1,1,1,1,3,5,3,1,accoglienza illimitata;quartieri;insicurezza;leggi;Sharia,negative,high
