folder_id,type,language,ambiente_clima,lavoro_economia,costo_vita,salute_welfare,istruzione_formazione,uguaglianza_genere,difesa_sicurezza,immigrazione,democrazia_legalita,abitazione,keywords,sentiment,propaganda
2025-03-01_001,image,it,1,1,4,1,1,3,1,3,3,1,Green Deal;certificato antifascista;turismo LGBTQ+;patente LGBT;cittadini;accoglienza,negative,high
2025-03-02_001,image,it,1,1,1,1,1,1,4,1,2,1,guerra;Ucraina;Russia;pace;diplomazia;dialogo;ostilità,negative,medium
2025-03-03_001,video,it,3,4,3,1,1,1,1,1,1,1,energia nucleare;sicurezza energetica;costo energia;industria pesante;dipendenza estera;tecnologia nucleare,positive,medium
2025-03-03_002,image,it,1,1,1,1,1,1,1,1,1,1,stato delle cose;vannacchi,negative,high
2025-03-04_001,image,it,1,1,1,1,1,1,5,1,2,1,aiuti militari;Ucraina;guerra;Trump;pace;NATO;Donbass,negative,high
2025-03-04_002,video,it,1,1,1,1,1,1,4,1,1,1,guerra;pace;Nato;patriottismo;distruzione termonucleare;Occidente,negative,medium
2025-03-05_001,image,it,1,3,4,1,1,1,3,3,4,1,Von der Leyen;tecnoburocrazia;emergenza;criminalità;immigrati;bollette;CommissioneEuropea,negative,high
2025-03-05_002,image,it,1,1,1,1,1,1,1,1,1,1,VanNacei;Fuori dal coro,neutral,none
2025-03-05_003,image,it,1,1,1,1,1,1,1,1,1,1,Bruno Pizzul;giornalista;sport;Nazionale;memoria,positive,none
2025-03-05_004,image,it,1,3,4,4,3,1,5,1,1,1,riarmo;ospedali;scuole;debito;cittadini;spese militari;bollette,negative,high
2025-03-06_001,image,it,1,1,1,1,1,1,4,1,3,1,Macron;Ucraina;forze europee;ONU;sicurezza;bellicismo;sovranità,negative,high
2025-03-06_002,image,it,1,1,1,1,1,1,4,1,2,1,guerra;armamenti;Ucraina;Sinistra;Donbass;manifestazione,negative,high
2025-03-07_001,video,it,1,1,1,1,1,1,5,4,3,1,sicurezza;forze dell'ordine;criminalità;immigrato illegale;posti di blocco;buonsenso,negative,high
2025-03-07_002,image,it,1,1,1,1,1,1,4,1,2,1,Ucraina;guerra;armi;Von der Leyen;Macron;strage;incidente industriale,negative,high
2025-03-08_001,image,it,1,3,1,1,1,4,3,1,2,1,donne;sacrifici;famiglia;patria;violenze;tutela;identità,positive,low
2025-03-08_002,video,it,1,4,5,1,1,1,3,1,2,1,pace fiscale;debito;bollette;costo della vita;guerra;Europa;cittadini italiani,negative,high
2025-03-09_001,video,it,1,1,1,1,1,1,1,1,5,1,tirannia;elezioni politiche;corte costituzionale;democrazia;Bruxelles;candidati,negative,high
2025-03-10_001,video,it,1,1,1,1,1,1,5,1,3,1,riarmo;esercito europeo;sicurezza;Nato;Prodi;Macron,negative,high
2025-03-11_001,video,it,1,1,1,1,1,1,1,1,1,1,Parenzo;cuffie;Dottor Parenzo;Piccolo Dave;general,negative,high
2025-03-11_002,image,it,1,1,1,1,1,1,5,1,2,1,Esercito Italiano;Forze Armate;Luciana Littizzetto;eroismo;difesa della Patria;storia militare,negative,high
2025-03-12_001,image,it,1,1,1,1,1,2,1,1,4,1,Bergamo;manifestazione;odio;intolleranza;democrazia;rispetto;politica,negative,high
2025-03-12_002,video,it,1,2,2,1,1,1,4,1,3,1,sovranità;Bruxelles;tecnocrati;difesa comune;scenari strategici;Unione Europea,negative,high
2025-03-13_001,video,it,1,1,1,1,1,1,5,1,4,1,Forze dell'Ordine;Carabinieri;sicurezza;legalità;sindaci;critica,negative,high
2025-03-13_002,video,it,1,4,3,4,1,1,4,4,2,1,debito;sanità;lavoro;pensioni;sicurezza interna;immigrati illegali;riarmo,negative,medium
2025-03-14_001,image,it,1,1,1,1,1,1,4,1,3,1,riarmo europeo;Europa Verde;voto;parlamento;Lega;consapevolezza,negative,high
2025-03-18_001,video,it,1,1,1,1,1,1,5,1,3,1,riarmo;Russia;Ucraina;stato di emergenza;articolo 122;difesa europea,negative,high
2025-03-19_001,image,it,1,3,4,1,1,1,5,1,2,1,difesa;sicurezza;Ucraina;fondi;bollette;stabilità;pace,positive,medium
2025-03-20_001,video,it,5,1,1,1,1,1,1,1,3,1,foreste europee;regolamento;sussidiarietà;monitoraggio;competenze nazionali;onere burocratico,negative,medium
2025-03-21_001,image,it,1,1,1,1,1,1,5,1,5,1,criminalità organizzata;legalità;sicurezza;mafia;istituzioni;giovani;denuncia,negative,medium
2025-03-21_002,video,it,1,3,1,1,1,1,5,1,2,1,Russia;sanzioni;difesa;industria;semiconduttori;Nato;investimenti,negative,high
2025-03-23_001,image,it,1,1,1,1,3,5,1,1,2,1,sessi sono due;Ministero Valditara;genere fluido;documenti scolastici;identità collettiva;biologicamente inoppugnabile,negative,high
2025-03-23_002,video,it,1,3,1,1,1,1,5,1,4,1,criminalità;borseggiatori;sicurezza;impunità;provvedimenti;risarcimento;metropolitana,negative,medium
